ID_source	ID_target	ID_catalyser
LMST04010001	LMST04010443	A7B3K3
LMST04010443	LMST04010086	A7AZH2
LMST04010001	LMST04010184	P0AET8
LMST04010184	LMST04010088	A7B4V1
LMST04010088	LMST05040014	LMP002315
LMST04010088	LMST05040014	LMP000423
LMST04010088	LMST05030007	LMP002315
LMST04010088	LMST05030007	LMP000423
LMST04010001	LMST04010176	P21215
LMST04010176	LMST04010085	42776911
